"idnum","wellbeing"
"0001",23
"0002",7
"0003",12
"0004",10
"0006",22
"0008",18
"0009",18
"0010",24
"0011",22
"0012",20
"0013",19
"0014",14
"0015",17
"0016",20
"0018",13
"0019",19
"0021",19
"0022",21
"0023",19
"0024",19
"0025",20
"0027",16
"0028",21
"0029",17
"0030",21
"0031",18
"0033",17
"0036",18
"0039",20
"0040",16
"0041",19
"0042",8
"0043",20
"0044",15
"0045",13
"0046",16
"0048",18
"0049",13
"0052",18
"0053",19
"0054",19
"0056",15
"0057",17
"0058",17
"0059",20
"0060",11
"0061",19
"0062",17
"0063",23
"0064",15
"0066",20
"0068",19
"0071",17
"0072",21
"0074",19
"0076",20
"0077",12
"0081",12
"0083",24
"0084",14
"0085",18
"0086",17
"0087",17
"0088",12
"0090",24
"0093",14
"0094",22
"0095",13
"0096",23
"0097",19
"0098",14
"0100",19
"0101",22
"0103",13
"0104",20
"0105",14
"0107",23
"0108",15
"0109",15
"0112",19
"0113",19
"0114",17
"0115",20
"0116",17
"0117",24
"0119",19
"0122",16
"0123",18
"0125",17
"0126",11
"0128",23
"0129",13
"0131",7
"0132",12
"0133",20
"0136",9
"0138",15
"0139",17
"0140",16
"0141",20
"0142",18
"0143",13
"0144",19
"0145",21
"0146",21
"0148",19
"0149",13
"0150",18
"0151",23
"0152",19
"0153",19
"0154",20
"0155",19
"0157",17
"0158",17
"0159",8
"0160",19
"0161",10
"0162",12
"0163",18
"0165",16
"0166",19
"0167",15
"0168",15
"0170",20
"0171",21
"0172",19
"0173",15
"0174",16
"0175",16
"0178",20
"0179",16
"0180",18
"0181",17
"0182",23
"0183",20
"0184",18
"0188",17
"0189",13
"0192",19
"0193",16
"0194",10
"0195",13
"0196",18
"0197",23
"0198",24
"0199",18
"0203",21
"0204",21
"0205",12
"0206",11
"0207",19
"0209",18
"0210",14
"0211",21
"0212",14
"0213",22
"0216",17
"0217",20
"0218",14
"0221",15
"0222",20
"0225",20
"0226",16
"0228",11
"0229",12
"0230",19
"0232",10
"0233",13
"0234",19
"0235",18
"0236",20
"0237",22
"0240",18
"0241",22
"0242",15
"0243",20
"0244",16
"0245",11
"0247",24
"0249",19
"0250",23
"0251",18
"0252",16
"0254",17
"0255",13
"0256",21
"0257",21
"0258",9
"0259",17
"0261",17
"0262",12
"0263",18
"0264",22
"0265",16
"0266",17
"0267",11
"0268",21
"0273",19
"0275",9
"0276",15
"0277",20
"0278",15
"0280",11
"0281",20
"0282",18
"0284",17
"0285",23
"0287",20
"0288",5
"0289",15
"0291",19
"0292",20
"0293",16
"0297",14
"0298",20
"0299",17
"0302",17
"0303",21
"0304",18
"0305",19
"0306",21
"0307",21
"0308",20
"0309",16
"0310",17
"0312",10
"0313",17
"0315",21
"0316",19
"0318",15
"0319",21
"0320",12
