"idnum","p4b23","k5e2a","f1h2","f1e3","m1e4b","f1g7","m1a13","m1g2","m1g3","m1g4","f1f2","m1f5","f1c2f","m1a7","m1b18","m2g6c","f2k6","m2k14","m2d3a","m2g4c","m2g13","f2h8a2","f2h10","m2h8e","m2h8b","m2h19b","m2h19i","m2j16","f2h19","m4d3","m4i7b","p4b15","p4l3","p4l5","p4l11","p4l19","p4l22","p4l28","p4l32","p4l43","m4h1g","m4i0g","m4h4","m4i0p","f4i8a1","f4j24a","p4a22","f4a2","f4i0n1","p4b9","p4b21_1","p4c8","p4h1"
"0001",9,"1","1","1","1","1","1","4","5","4","1","2","1","1","1","1","1","2","2","205","3","2","2","1","2","2","1","2","2","1","1","1","2","0","2","0","0","2","0","0","1","2","1","2","1","2","0","1","1","1","0","4","0"
"0002",10,"4","1","1","1","2","1","5","5","4","2","3","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","2","0","2","0","2","0","1","0","0","1","1","2","1","2","2","2","0","3","1","0","0","4","1"
"0003",11,"1","1","1","1","1","1","5","5","4","2","1","1","1","1","1","2","1","1","3","1","2","2","1","2","2","1","1","1","1","2","1","2","0","2","0","0","0","0","1","1","1","1","2","2","2","1","3","2","0","1","4","0"
"0004",10,"1","2","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","4","5","2","2","1","2","2","2","2","1","1","1","0","2","0","1","1","0","0","1","1","1","1","1","1","2","2","0","1","1","1","0","2","0"
"0005",11,"0","2","4","1","2","1","5","5","4","1","2","1","1","1","1","2","1","1","3","3","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","1","2","1","0","4","0"
"0006",8,"0","2","1","1","1","1","5","5","4","2","3","1","2","1","1","2","2","1","2","1","2","2","1","2","2","1","2","2","1","2","1","2","0","2","0","1","0","1","1","1","1","1","1","2","2","0","1","2","1","0","4","0"
"0007",11,"3","1","3","1","2","1","2","5","4","1","2","1","2","2","1","2","2","1","202","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","1","2","0","0","0","3","1","1","2","2","2","1","2","1","0","1","4","1"
"0008",8,"0","1","4","1","1","1","5","5","4","2","4","1","1","2","1","2","2","1","3","1","2","2","1","2","2","2","2","2","1","2","0","2","0","2","0","0","0","0","2","3","1","1","2","2","2","1","4","1","1","0","2","0"
"0009",7,"0","1","4","1","1","1","5","5","4","2","3","1","1","1","2","2","1","1","202","5","2","2","1","2","2","2","1","1","1","2","0","0","0","0","0","1","0","0","1","4","2","1","2","2","1","1","3","2","1","0","4","0"
"0010",10,"1","2","1","1","2","1","5","5","4","1","2","1","1","1","1","1","2","1","203","5","2","2","2","2","2","2","2","2","1","2","0","2","0","2","0","0","0","0","0","1","1","2","2","2","2","0","1","2","1","1","4","0"
"0011",10,"0","1","2","1","2","1","5","5","4","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","1","1","0","0","0","1","1","1","1","2","2","1","1","4","1","1","4","0"
"0012",10,"0","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","4","2","2","2","2","2","1","2","1","1","2","1","2","0","2","0","0","0","0","0","1","1","1","1","2","1","1","4","3","1","0","4","0"
"0013",10,"2","1","1","1","1","1","5","5","4","2","2","1","2","1","1","1","2","1","3","1","2","2","1","1","2","2","2","2","1","2","1","2","0","1","1","1","0","0","2","1","2","1","2","2","2","1","1","2","1","0","4","0"
"0014",10,"4","1","1","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","3","3","2","2","2","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","1","1","2","1","1","2","2","0","2","3","1","1","4","0"
"0015",10,"0","1","2","1","1","1","5","5","4","1","3","1","1","1","1","2","2","1","5","1","2","2","1","2","2","2","2","2","1","2","0","1","1","1","0","0","0","0","0","1","1","1","2","1","2","0","4","1","0","1","3","2"
"0016",10,"3","1","2","1","2","1","5","5","4","2","1","1","1","1","1","2","1","1","1","1","2","2","1","2","2","2","2","2","1","2","1","2","2","1","0","0","0","0","1","1","2","1","1","2","2","0","1","2","1","1","4","0"
"0017",11,"0","1","2","1","1","1","5","5","4","2","2","1","2","2","2","2","2","1","5","2","2","2","1","2","2","2","2","2","1","2","1","1","0","2","0","0","0","0","0","1","2","2","2","2","2","0","4","2","0","1","2","2"
"0018",7,"1","1","1","2","2","1","5","5","2","1","4","1","1","1","1","2","2","1","5","1","1","2","1","1","2","1","1","1","1","2","1","1","0","0","0","1","0","1","0","2","1","1","2","1","1","1","1","2","0","0","4","0"
"0019",9,"0","1","1","1","2","1","5","5","3","2","4","1","2","1","2","2","2","1","2","1","2","2","1","2","2","1","2","2","1","1","0","2","0","1","0","1","0","0","1","4","1","2","2","2","2","1","7","1","1","0","4","2"
"0020",11,"4","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","2","1","2","0","2","0","2","0","0","0","0","0","2","2","1","2","2","2","0","1","2","1","0","4","0"
"0021",10,"1","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","2","2","2","1","2","2","1","2","2","1","2","1","2","0","2","0","0","0","0","1","1","1","1","2","2","2","0","1","1","1","1","4","0"
"0022",9,"3","1","1","1","2","1","5","5","4","1","1","1","1","1","1","2","1","1","2","1","2","2","1","2","2","1","2","2","1","2","0","2","0","2","0","0","1","1","1","2","2","1","1","2","2","0","2","1","1","0","4","0"
"0023",10,"0","1","2","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","4","1","2","2","1","2","2","1","2","2","1","1","1","2","0","1","0","0","0","1","1","1","2","1","1","1","1","1","1","2","0","0","3","1"
"0024",8,"3","1","1","1","1","1","5","5","4","1","2","2","1","1","1","1","2","1","2","1","2","2","1","2","2","2","2","2","1","2","1","2","0","0","0","0","0","1","0","1","2","1","2","2","2","0","3","2","0","0","4","0"
"0025",7,"0","1","2","1","1","1","4","3","2","1","3","1","1","1","1","2","2","1","4","2","2","2","1","2","2","1","2","1","1","2","1","1","2","1","0","0","0","0","1","3","2","1","1","2","2","1","7","2","1","1","4","2"
